,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,KNN,KNN,KNN,KNN,KNN,LOF,LOF,LOF,LOF,LOF,IForest,IForest,IForest,IForest,IForest,IForest,OCSVM,OCSVM,OCSVM,OCSVM,OCSVM,AutoEncoder,AutoEncoder,AutoEncoder,AutoEncoder
,n_jobs,n_estimators,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,random_state,n_estimators,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,contamination,gamma,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,hidden_neurons,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict
0,,111,0.9419,0.4286,0.4967,42,0.05,0.8924,0.4286,0.701,42,0.05,0.8543,0.1429,0.5581,28,61,0.05,0.8362,0.1429,0.5481,0.05,0.012679326812500414,0.7552,0.2857,0.6229,"[10, 9, 9, 8, 7, 7, 6, 5, 5, 4, 3, 3, 2, 2, 2, 3, 3, 4, 5, 5, 6, 7, 7, 8, 9, 9, 10]",0.7133,0.2857,0.5962
1,,116,0.971,0.5714,0.7043,76,0.05,0.8857,0.4286,0.701,76,0.05,0.899,0.4286,0.701,28,15,0.05,0.8152,0.1429,0.5481,0.05,0.0008485495672153498,0.7562,0.2857,0.6229,"[10, 6, 2, 6, 10]",0.701,0.2857,0.5962
2,,109,0.9448,0.5,0.6976,16,0.05,0.8676,0.1429,0.5514,16,0.05,0.6457,0.0,0.48,28,31,0.05,0.8048,0.1429,0.6229,0.05,7.494965603069268e-07,0.859,0.2857,0.6976,"[10, 9, 8, 8, 7, 6, 5, 5, 4, 3, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 8, 9, 10]",0.5943,0.1429,0.5962
3,,131,0.9376,0.5,0.6976,95,0.05,0.8581,0.4286,0.6976,95,0.05,0.8981,0.4286,0.6976,28,49,0.05,0.8229,0.1429,0.5481,0.05,6.0694114676154435e-05,0.7657,0.2857,0.6229,"[10, 9, 8, 7, 7, 6, 5, 4, 3, 2, 2, 2, 3, 4, 5, 6, 7, 7, 8, 9, 10]",0.5943,0.1429,0.5962
4,,127,0.93,0.4286,0.5,2,0.05,0.7057,0.1429,0.4933,2,0.05,0.5214,0.0,0.5,28,60,0.05,0.8419,0.1429,0.5481,0.05,0.029454892626256144,0.7562,0.2857,0.6229,"[10, 9, 8, 6, 5, 4, 3, 2, 3, 4, 5, 6, 8, 9, 10]",0.7124,0.2857,0.5962
5,,120,0.9276,0.5,0.4967,37,0.05,0.8857,0.4286,0.701,37,0.05,0.8267,0.1429,0.5481,28,13,0.05,0.8095,0.1429,0.5481,0.05,0.00037752948147387047,0.7505,0.2857,0.6229,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7076,0.2857,0.5962
6,,126,0.9538,0.5714,0.5,73,0.05,0.8895,0.4286,0.701,73,0.05,0.8952,0.4286,0.701,28,50,0.05,0.8276,0.1429,0.5481,0.05,1.9004371387710233e-06,0.859,0.2857,0.6976,"[10, 9, 9, 8, 7, 6, 6, 5, 4, 4, 3, 2, 2, 2, 3, 4, 4, 5, 6, 6, 7, 8, 9, 9, 10]",0.5943,0.1429,0.5962
7,,110,0.931,0.2857,0.4967,15,0.05,0.8671,0.2857,0.5548,15,0.05,0.6448,0.0,0.48,28,37,0.05,0.8067,0.2857,0.6229,0.05,0.09431703220942925,0.7571,0.2857,0.6229,"[10, 7, 4, 2, 4, 7, 10]",0.6971,0.2857,0.5962
8,,117,0.9286,0.5,0.6876,38,0.05,0.8838,0.4286,0.6976,38,0.05,0.8333,0.1429,0.5514,28,47,0.05,0.8152,0.1429,0.5481,0.05,0.4870833097733988,0.74,0.0,0.5481,[10],0.6905,0.2857,0.5962
9,,145,0.9357,0.2857,0.5,90,0.05,0.8657,0.4286,0.6976,90,0.05,0.9019,0.4286,0.6976,28,11,0.05,0.8352,0.1429,0.6229,0.05,0.7753437274107352,0.76,0.0,0.5481,"[10, 8, 6, 4, 2, 4, 6, 8, 10]",0.699,0.2857,0.5962
